,rs_song,nme_song,rs_artist,nme_artist,rs_rank,nme_rank,rs_year,t_song,rs_artist13,t_artist,rs_rank13,t_rank,rs_year13,t_year,nme_song23,nme_artist23,t_artist23,nme_rank23,t_rank23
97,light my fire,light my fire,the doors,the doors,35,199,1967,,,,,,,,,,,,
98,like a prayer,like a prayer,madonna,madonna,300,47,1989,,,,,,,,,,,,
99,like a rolling stone,like a rolling stone,bob dylan,bob dylan,1,49,1961,,,,,,,,,,,,
100,lola,lola,the kinks,the kinks,422,473,1970,,,,,,,,,,,,
101,london calling,london calling,the clash,the clash,15,32,1980,,,,,,,,,,,,
102,lose yourself,lose yourself,eminem,eminem,166,88,2002,,,,,,,,,,,,
103,losing my religion,loosing my religion,r.e.m.,r.e.m,169,101,1991,,,,,,,,,,,,
104,louie louie,louie louie,the kingsmen,the kingsman,55,157,1963,,,,,,,,,,,,
105,lust for life,lust for life,iggy pop,iggy pop,147,459,1977,,,,,,,,,,,,
106,monkey gone to heaven,monkeys gone to heaven,pixies,pixies,410,197,1989,,,,,,,,,,,,
107,my generation,my generation,the who,the who,11,70,1965,,,,,,,,,,,,
108,my sweet lord,my sweet lord,george harrison,george harrison,454,270,1970,,,,,,,,,,,,
109,no woman no cry,no woman no cry,bob marley,bob marley,37,139,1975,,,,,,,,,,,,
110,nowhere to run,nowhere to run,martha reeves and the vandellas,martha & the vandellas,358,191,1965,,,,,,,,,,,,
111,nuthin' but a 'g' thang,nothin' but a 'g' thing,dr. dre,dr dre,419,477,1993,,,,,,,,,,,,
112,oh pretty woman,oh pretty woman,roy orbison,roy orbison,222,387,1964,,,,,,,,,,,,
113,one way or another,one way or another,blondie,blondie,298,455,1978,,,,,,,,,,,,
114,paint it black,paint it black,rolling stones,the rolling stones,174,136,1966,,,,,,,,,,,,
115,papa was a rollin' stone,papa was a rolling stone,the temptations,the temptations,168,310,1972,,,,,,,,,,,,
116,papa's got a brand new bag,papa's got a brand new bag,james brown,james brown,72,154,1966,,,,,,,,,,,,
117,paradise city,paradise city,guns ‘n' roses,guns 'n' roses,453,423,1987,,,,,,,,,,,,
118,paranoid,paranoid,black sabbath,black sabbath,250,391,1970,,,,,,,,,,,,
119,personal jesus,personal jesus,depeche mode,dépêche mode,368,323,1989,,,,,,,,,,,,
120,pictures of you,pictures of you,the cure,the cure,278,360,1989,,,,,,,,,,,,
121,purple haze,purple haze,jimmy hendrix,the jimi hendrix experience,17,159,1967,,,,,,,,,,,,
122,purple rain,purple rain,prince,prince,143,123,1984,,,,,,,,,,,,
123,push it,push it,salt-n-pepa,salt 'n' peppa,440,466,1987,,,,,,,,,,,,
124,radio free europe,radio free europe,r.e.m.,r.e.m,379,212,1991,,,,,,,,,,,,
125,rave on,rave on,buddy holly,buddy holly,154,332,1958,,,,,,,,,,,,
126,reach out i'll be there,reach out and i'll be there,the four tops,the four tops,206,274,1966,,,,,,,,,,,,
127,respect,respect,aretha franklin,aretha franklin,5,226,1967,,,,,,,,,,,,
128,ring of fire,ring of fire,johnny cash,johnny cash,87,318,1963,,,,,,,,,,,,
129,river deep - mountain high,river deep mountain high,tina turner,ike and tina turner,33,37,1966,,,,,,,,,,,,
130,roadrunner,roadrunner,the modern lovers,jonathan richman & the modern lovers,269,376,1976,,,,,,,,,,,,
131,rock lobster,sex and drugs and rock and roll,the b-52's,ian dury and the blockheads,146,358,1979,,,,,,,,,,,,
132,roll over beethoven,roll over beethoven,chuck berry,chuck berry,97,177,1956,,,,,,,,,,,,
133,sabotage,sabotage,beastie boys,beastie boys,475,56,1994,,,,,,,,,,,,
134,sexual healing,sexual healing,marvin gaye,marvin gaye,231,326,1982,,,,,,,,,,,,
135,she loves you,she loves you,the beatles,the beatles,64,280,1963,,,,,,,,,,,,
136,sheena is a punk rocker,sheena is a punk rocker,ramones,ramones,457,407,1977,,,,,,,,,,,,
137,sitting on the dock of the bay,(sittin' on) the dock of the bay,otis redding,otis redding,28,150,1968,,,,,,,,,,,,
138,something,something,the beatles,the beatles,273,304,1969,,,,,,,,,,,,
139,son of a preacher man,son of a preacher man,dusty springfield,dusty springfield,240,161,1968,,,,,,,,,,,,
140,stan,stan,eminem feat. dido,eminem,290,340,2000,,,,,,,,,,,,
141,stand by me,stand by me,ben e. king,ben e king,121,65,1961,,,,,,,,,,,,
142,strawberry fields forever,strawberry fields forever,the beatles,the beatles,76,35,1967,,,,,,,,,,,,
143,street fighting man,(white man) in hammersmith palais,the rolling stones,the clash,295,69,1968,,,,,,,,,,,,
144,suspicious minds,suspicious minds,elvis presley,elvis presley,91,58,1969,,,,,,,,,,,,
145,sweet child o mine,sweet child o' mine,guns n roses,guns 'n' roses,196,471,1987,,,,,,,,,,,,
146,sweet jane,bitter sweet symphony,"lou reed, the velvet underground",the verve,335,115,1970,,,,,,,,,,,,
147,sympathy for the devil,sympathy for the devil,the rolling stones,the rolling stones,32,227,1968,,,,,,,,,,,,
148,tangled up in blue,tangled up in blue,bob dylan,bob dylan,68,277,1975,,,,,,,,,,,,
149,thank you (falettinme be mice elf again),be my baby,sly and the family stone,the ronettes,402,9,1970,,,,,,,,,,,,
150,the boys are back in town,the boys are back in town,thin lizzy,thin lizzy,499,402,1976,,,,,,,,,,,,
151,the message,the message,grandmaster flash,grandmaster flash & the furious five,51,97,1980,,,,,,,,,,,,
152,the tracks of my tears,the tracks of my tears,smokey robinson & the miracles,smokey robinson & the miracles,50,178,1965,,,,,,,,,,,,
153,ticket to ride,ticket to ride,the beatles,the beatles,384,311,1965,,,,,,,,,,,,
154,tiny dancer,tiny dancer,elton john,elton john,387,158,1972,,,,,,,,,,,,
155,train in vain,(white man) in hammersmith palais,the clash,the clash,292,69,1979,,,,,,,,,,,,
156,tumbling dice,tumbling dice,the rolling stones,the rolling stones,424,446,1972,,,,,,,,,,,,
157,voodoo child,voodoo child (slight return),jimi hendrix,the jimi hendrix experience,101,246,1968,,,,,,,,,,,,
158,walk on the wild side,walk on the wild side,lou reed,lou reed,221,50,1972,,,,,,,,,,,,
159,walk this way,walk this way,run dmc,run-dmc,287,258,1986,,,,,,,,,,,,
160,walk this way,walk this way,aerosmith & run dmc,run-dmc,336,258,1976,,,,,,,,,,,,
161,watching the detectives,watching the detectives,elvis costello,elvis costello & the attractions,354,413,1977,,,,,,,,,,,,
162,waterloo sunset,waterloo sunset,the kinks,the kinks,42,23,1968,,,,,,,,,,,,
163,what’s going on,what's going on,marvin gaye,marvin gaye,4,202,1971,,,,,,,,,,,,
164,when doves cry,when doves cry,prince,prince,52,113,1984,,,,,,,,,,,,
165,while my guitar gently weeps,while my guitar gently weeps,the beatles,the beatles,135,382,1968,,,,,,,,,,,,
166,white man in hammersmith palais,(white man) in hammersmith palais,the clash,the clash,430,69,1978,,,,,,,,,,,,
167,who's that lady,there is a light that never goes out,the isley brothers,the smiths,348,12,1973,,,,,,,,,,,,
168,whole lotta love,whole lotta love,led zeppelin,led zeppelin,75,452,1969,,,,,,,,,,,,
169,wichita lineman,wichita lineman,glen campbell,glen campbell,192,130,1968,,,,,,,,,,,,
170,won't get fooled again,won't get fooled again,the who,the who,133,175,1971,,,,,,,,,,,,
171,you can’t always get what you want,you can't always get what you want,rolling stones,the rolling stones,100,297,1969,,,,,,,,,,,,
172,you keep me hangin' on,you keep me hanging on,diana ross & the supremes,the supremes,339,211,1966,,,,,,,,,,,,
173,you really got me,you really got me,the kinks,the kinks,82,219,1964,,,,,,,,,,,,
174,young americans,young americans,david bowie,david bowie,481,62,1975,,,,,,,,,,,,
175,ziggy stardust,ziggy stardust,david bowie,david bowie,277,480,1972,,,,,,,,,,,,
