,nme_rank,nme_artist,nme_song
365,373,Arctic Monkeys ,Brainstorm
366,374,The Human League ,Love Action (I Believe In)
367,375,Michael Jackson ,Don't Stop 'Till You Get Enough
368,376,Jonathan Richman & the Modern Lovers ,Roadrunner
369,377,Elton John ,Bennie and the Jets
370,378,Nick Cave & Kylie Minogue ,Where the Wild Roses Grow
371,379,The Byrds ,I'll Feel a Whole Lot Better
372,380,Arctic Monkeys ,Piledriver Waltz
373,381,MGMT ,Kids
374,382,The Beatles ,While My Guitar Gently Weeps
375,383,N*E*R*D ,Lapdance
376,384,The Slits ,Typical Girls
377,385,Oasis ,Champagne Supernoa
378,386,Pavement ,Cut Your Hair
379,387,Roy Orbison ,Oh Pretty Woman
380,388,The Smiths ,The Boy With the Thorn in His Side
381,389,Blur ,There's No Other Way
382,390,Paul Simon ,Me & Julio Down in the School Yard
383,391,Black Sabbath ,Paranoid
384,392,Chaka Khan ,I Feel for You
385,393,Blur ,To the End
386,394,The Stranglers ,No More Heroes
387,395,Jamie T ,Sheila
388,396,Eminem ,The Real Slim Shady
389,397,Nick Cave and the Bad Seeds ,The Mercy Seat
390,398,Regina Spektor ,Us
391,399,Oasis ,Slide Away
392,400,Foo Fighters ,Learn to Fly
393,401,The Disposable Heroes of Hiphoprisy ,"Television, the Drug of the Nation"
394,402,Thin Lizzy ,The Boys Are Back in Town
395,403,Black Grape ,Reverend Black Grape
396,404,U2 ,Where the Streets Have No Name
397,405,Mia ,Bad Girls
398,406,Alt-J ,Breezblocks
399,407,Ramones ,Sheena Is a Punk Rocker
400,408,Arctic Monkeys ,Fake Tales of San Francisco
401,409,The Ronettes ,"Baby, I Love You"
402,410,Nine Inch Nails ,Hurt
403,411,Fugazi ,Waiting Room
404,412,Friendly Fires ,Paris
405,413,Elvis Costello & the Attractions ,Watching the Detectives
406,414,The Only Ones ,"Another Girl, Another Planet"
407,415,Carly Simon ,You're So Vain
408,416,Blur ,Chemical World
409,417,Tindersticks ,Marbles
410,418,Nirvana ,Come As You Are
